# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FXX      = Hoogste windstoot (in 0.1 m/s);
#
# STN,YYYYMMDD,  FXX
#
  240,20080421,  140
  240,20080422,  120
  240,20080423,  100
  240,20080424,  150
  240,20080425,  100
  240,20080426,   90
  240,20080427,  110
  240,20080428,   90
  240,20080429,  130
  240,20080430,  170
  240,20080501,  150
  240,20080502,  110
  240,20080503,   80
  240,20080504,  100
  240,20080505,  120
  240,20080506,  100
  240,20080507,   80
  240,20080508,  110
  240,20080509,  100
  240,20080510,   80
  240,20080511,   90
  240,20080512,  110
  240,20080513,  120
  240,20080514,   90
  240,20080515,  120
  240,20080516,   90
  240,20080517,  130
  240,20080518,  100
  240,20080519,  110
  240,20080520,  120
  240,20080521,  110
  240,20080522,   70
  240,20080523,  110
  240,20080524,  150
  240,20080525,  120
  240,20080526,  170
  240,20080527,  110
  240,20080528,  150
  240,20080529,  110
  240,20080530,  130
  240,20080531,   90
  240,20080601,   70
  240,20080602,  110
  240,20080603,   90
  240,20080604,   70
  240,20080605,   80
  240,20080606,   80
  240,20080607,   70
  240,20080608,   80
  240,20080609,   90
  240,20080610,  110
  240,20080611,  120
  240,20080612,  110
  240,20080613,  130
  240,20080614,  100
  240,20080615,  120
  240,20080616,  100
  240,20080617,  130
  240,20080618,  140
  240,20080619,  170
  240,20080620,  130
  240,20080621,   80
  240,20080622,  210
  240,20080623,  160
  240,20080624,  100
  240,20080625,  150
  240,20080626,  150
  240,20080627,  160
  240,20080628,  140
  240,20080629,  160
  240,20080630,  110
