Country;Region;HPI Rank;Average Life Expectancy;Footprint (gha/capita);Inequality of Outcomes;Inequality of Outcomes;Inequality-adjusted Life Expectancy;Population
Afghanistan;Middle East and North Africa;110;59,668;0,79;0,426557441;0,426557441;38,34881762;29726803
Albania;Post-communist;13;77,347;2,21;0,165133717;0,165133717;69,67115928;2900489
Algeria;Middle East and North Africa;30;74,313;2,12;0,244861748;0,244861748;60,47454459;37439427
Argentina;Americas;19;75,927;3,14;0,164238301;0,164238301;68,34958311;42095224
Armenia;Post-communist;73;74,446;2,23;0,216648103;0,216648103;66,92168232;2978339
Australia;Asia Pacific;105;82,052;9,31;0,080678248;0,080678248;78,56002377;22728254
Austria;Europe;43;81,004;6,06;0,071293505;0,071293505;78,02278579;8429991
Bangladesh;Asia Pacific;8;70,843;0,72;0,273657249;0,273657249;56,62464874;155257387
Belarus;Post-communist;102;70,874;5,09;0,131909878;0,131909878;66,74485152;9464000
Belgium;Europe;87;80,429;7,44;0,085372803;0,085372803;77,21074725;11128246
Belize;Americas;27;69,795;2,54818;0,180123167;0,180123167;61,66504683;336707
Benin;Sub Saharan Africa;137;59,167;1,41;0,444113292;0,444113292;37,26979932;10049792
Bhutan;Asia Pacific;56;68,748;2,32167;0,265591392;0,265591392;54,52441464;743711
Bolivia;Americas;92;67,45;2,96;0,349805139;0,349805139;47,85815272;10238762
Bosnia and Herzegovina;Post-communist;76;76,175;3,12;0,186044558;0,186044558;71,07562838;3828419
Botswana;Sub Saharan Africa;126;64,249;3,83;0,283912853;0,283912853;50,79681579;2132822
Brazil;Americas;23;73,907;3,11;0,21632153;0,21632153;63,27166724;202401584
Bulgaria;Post-communist;109;73,913;3,32;0,192834223;0,192834223;68,1362898;7305888
Burkina Faso;Sub Saharan Africa;119;57,955;1,21;0,432492611;0,432492611;36,46481724;16590813
Burundi;Sub Saharan Africa;131;55,803;0,8;0,47742712;0,47742712;33,01280792;10124572
Cambodia;Asia Pacific;74;67,467;1,21;0,275349742;0,275349742;54,15956121;14832255
Cameroon;Sub Saharan Africa;124;54,61;1,17;0,472751563;0,472751563;33,09404099;21659488
Canada;Americas;85;81,654;8,17;0,088286642;0,088286642;77,78667128;34751476
Chad;Sub Saharan Africa;140;50,808;1,46;0,507342316;0,507342316;27,31849429;12715465
Chile;Americas;35;81,05;4,36;0,143068222;0,143068222;74,91745237;17388437
China;Asia Pacific;72;75,365;3,38;0,174994238;0,174994238;68,64677443;1350695000
Colombia;Americas;3;73,673;1,87;0,235043953;0,235043953;63,1006689;46881018
Comoros;Sub Saharan Africa;93;62,598;1,03;0,355964115;0,355964115;43,28654058;733661
Costa Rica;Americas;1;79,076;2,84;0,145567694;0,145567694;72,6155515;4654148
Cote d'Ivoire;Sub Saharan Africa;135;50,83;1,27;0,446844777;0,446844777;30,63832322;21102641
Croatia;Post-communist;47;76,961;3,92;0,117671766;0,117671766;73,46525751;4267558
Cyprus;Europe;41;79,789;4,21;0,120878131;0,120878131;76,57364947;1129303
Czech Republic;Post-communist;64;78,185;5,19;0,093970135;0,093970135;75,45693378;10510785
Denmark;Europe;32;79,832;5,51;0,071060884;0,071060884;76,76373671;5591572
Djibouti;Sub Saharan Africa;127;61,311;2,19;0,41654172;0,41654172;41,36546711;853069
